Organization Name,URL,Description,Phone Number,Address
"Suicide and Crisis Center","undefined","Offers crisis intervention, acute stabilization","undefined","undefined"
"  www.sccenter.org ","undefined","and family preservation programs.  Immediate","undefined","undefined"
"the community of North Texas.","undefined","assessment and crisis intervention is available","undefined","undefined"
"24 HR","undefined","24 hours a day, 7 days a week by calling 817-","undefined","undefined"
"214-828-1000 ","undefined","909-1171.","undefined","undefined"
"Health ","undefined","","undefined","undefined"
"and substance abuse issues","undefined","","undefined","undefined"
" ","undefined","817-335-HOPE","undefined","undefined"
"Free Evaluation ","undefined","(4673)","undefined","undefined"
"The Turning Point","undefined","","undefined","undefined"
"sensitive yoga groups for survivors. ","undefined","","undefined","undefined"
"24 HR","undefined","Toll Free:","undefined","undefined"
"Point ","undefined","","undefined","undefined"
"Plano, TX  ","undefined","","undefined","undefined"
"and follow up medical care.","undefined","CITY House Homeless Children","undefined","undefined"
"1-800-886-7273 ","undefined","","undefined","undefined"
"14 ","undefined","Center","undefined","undefined"
"UNT Child & Family Resource Clinic","undefined","","undefined","undefined"
" ","undefined","901 East 18th Street Plano,   T X 75074","undefined","undefined"
"resource-clinic ","undefined","Serves youth newborn to 21-years-old","undefined","undefined"
"Denton","undefined","through three primary programs —an","undefined","undefined"
"940-565-2066","undefined","Emergency Shelter for children in Plano,","undefined","undefined"
"educational testing.","undefined","Outpatient Counseling Services for","undefined","undefined"
" ","undefined","individuals and families, and Transitional","undefined","undefined"
" ","undefined","Living Program in both Plano and Frisco.","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Plano","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Emergency","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Letot – Dallas County Juvenile Facility","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","nile/letot.php","undefined","undefined"
" ","undefined","Emergency shelter, licensed by the Texas","undefined","undefined"
" ","undefined","Department of Family and Protective","undefined","undefined"
" ","undefined","Services, provides crisis intervention,","undefined","undefined"
" ","undefined","diversion programs, and counseling for","undefined","undefined"
" ","undefined","runaway youth in Dallas county.","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Dallas","undefined","undefined"
"YAP – Youth Advocate Program","undefined","","undefined","undefined"
"  www.yapinc.org/whatwedo/adult ","undefined","","undefined","undefined"
"Dallas","undefined","","undefined","undefined"
"214-821-6505 ","undefined","7","undefined","undefined"
"15 ","undefined","","undefined","undefined"
"Domestic Violence Services ","undefined","Promise House","undefined","undefined"
"received. ","undefined","","undefined","undefined"
"Brighter Tomorrows","undefined","224 W. Page Ave., Dallas, TX 75208","undefined","undefined"
"and thrift stores. ","undefined","","undefined","undefined"
"972-262-8383","undefined","Emergency Shelter for children, teens and","undefined","undefined"
" ","undefined","families. Providing a temporary sanctuary for","undefined","undefined"
"Denton County Friends of the","undefined","homeless, runaway, and abandoned youth","undefined","undefined"
"Genesis Women’s Shelter ","undefined","living in North Texas. Transitional program for","undefined","undefined"
"  www.genesisshelter.org ","undefined","ages 16 –   24 and Maternity Group housing","undefined","undefined"
"protective orders.","undefined","for women 20 –   24 (including infants).","undefined","undefined"
"(4357) ","undefined","Dallas","undefined","undefined"
"Office","undefined","","undefined","undefined"
"214.389.7700 ","undefined","","undefined","undefined"
"Hope’s Door New Beginning Center","undefined","","undefined","undefined"
" www.hdnbc.org ","undefined","Transitional Living Programs","undefined","undefined"
"  Plano, TX 75074 ","undefined","","undefined","undefined"
"Education; and LBTQ Services. ","undefined","Description","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Phone","undefined","undefined"
"972-276-0057   ","undefined","AGAPE Resource & Assistance Center","undefined","undefined"
"Offices","undefined","","undefined","undefined"
"Garland","undefined","","undefined","undefined"
"The Family Place","undefined","","undefined","undefined"
"  www.familyplace.org ","undefined","Provides housing and transitional services to","undefined","undefined"
"   Dallas, TX ","undefined","homeless single women, moms and their","undefined","undefined"
" ","undefined","children. With the help of case workers and","undefined","undefined"
"services. ","undefined","counselors, women and children typically stay","undefined","undefined"
"24 HR Hotline","undefined","with Agape from 6 months to a year, during","undefined","undefined"
"214-941-1991","undefined","which they gain the skills, strength and","undefined","undefined"
" ","undefined","stability for self-sufficiency.","undefined","undefined"
"Office","undefined","Plano","undefined","undefined"
"214-559-2170 ","undefined","info@hope4agape.","undefined","undefined"
"16 ","undefined","org","undefined","undefined"
"Islamic Association of Collin","undefined","Bella House","undefined","undefined"
"County ","undefined","","undefined","undefined"
"  www.planomasjid.org ","undefined","A faith-based residence for homeless,","undefined","undefined"
"medical help. ","undefined","pregnant women and provides for","undefined","undefined"
"469-361-1467","undefined","immediate needs of women, and babies","undefined","undefined"
" ","undefined","including food, clothing & baby items.","undefined","undefined"
" ","undefined","Programs include: parenting, nutrition,","undefined","undefined"
"972-491-5800","undefined","budgeting, boundary setting, healthy","undefined","undefined"
" ","undefined","relationships, adopt","undefined","undefined"
"Peaceful Oasis Shelter","undefined","ion, etc. Each woman can","undefined","undefined"
"Muslim Women’s    Foundation ","undefined","stay in the home with her child until she","undefined","undefined"
"972-880-4192","undefined","graduates from the program.","undefined","undefined"
"24 HR Hotli ne ","undefined","","undefined","undefined"
"Resource Center ","undefined","Plano","undefined","undefined"
"in Arlington and Fort Worth ","undefined","","undefined","undefined"
"  www.safehaventc.org ","undefined","CITY House -Transitional Living Program","undefined","undefined"
" ","undefined","","undefined","undefined"
"victims in Collin County.","undefined","","undefined","undefined"
" ","undefined","Residents ages newborn to 17 are provided a","undefined","undefined"
"(7233) ","undefined","21-day residential stay with access to food,","undefined","undefined"
"24 HR Hotli ne ","undefined","clothing, and shelter, individual and family","undefined","undefined"
"Arlington ","undefined","counseling, medical examination upon intake,","undefined","undefined"
"Center","undefined","academic assistance, transportation","undefined","undefined"
" ","undefined","assistance, and therapeutic group classes in","undefined","undefined"
" ","undefined","Collin County.  Transitional Program for","undefined","undefined"
" ","undefined","Youth 18 –   21 ys.","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Emily’s Place","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Primarily for women and children survivors of","undefined","undefined"
" ","undefined","domestic violence in Collin County. Includes","undefined","undefined"
"17 ","undefined","counseling, vocational assistance, life skills","undefined","undefined"
"Drug Treatment Referrals ","undefined","development, employment assistance and","undefined","undefined"
"received. ","undefined","spiritual nurturing. Transportation to","undefined","undefined"
"Access Counseling Group","undefined","Addiction Programs available for residents","undefined","undefined"
"  www.accesscounselinggroup.com ","undefined","with at least 1 year of sobriety. Residency is","undefined","undefined"
"  Plano, TX  ","undefined","available and encouraged for up to two","undefined","undefined"
"972-423-8727 ","undefined","years.","undefined","undefined"
"Plano","undefined","","undefined","undefined"
" ","undefined","Plano","undefined","undefined"
" ","undefined","","undefined","undefined"
"Frisco","undefined","","undefined","undefined"
" Carrollton Springs ","undefined","","undefined","undefined"
"  Carrollton, TX 75010 ","undefined","8","undefined","undefined"
"programs during and after treatment.","undefined","","undefined","undefined"
"only.","undefined","Mater Filius Dallas","undefined","undefined"
"Carrollton","undefined","","undefined","undefined"
"972-544-7980","undefined","","undefined","undefined"
" ","undefined","Provides housing for pregnant women","undefined","undefined"
" ","undefined","18+. After birth, mother and child can","undefined","undefined"
"Plano","undefined","stay in the house for up to 8 months.","undefined","undefined"
"972-212-5487","undefined","Rooted in Catholic traditions but","undefined","undefined"
"Youth 180 (formerly Dallas Challenge)","undefined","welcome mothers regardless of martial,","undefined","undefined"
"  www.Youth180tx.org ","undefined","socioeconomic status,or religious beliefs.","undefined","undefined"
"family and crisis counseling. ","undefined","","undefined","undefined"
" ","undefined","info@materfiliusd","undefined","undefined"
" ","undefined","allas.org","undefined","undefined"
"214-942-5166 ","undefined","","undefined","undefined"
"treatments) ","undefined","Our Friend’s Place","undefined","undefined"
"972-566-4680","undefined","","undefined","undefined"
"Life Management Resources","undefined","","undefined","undefined"
"  www.lifemanagementresources.com ","undefined","Dallas, TX 75219","undefined","undefined"
"972-985-7565","undefined","","undefined","undefined"
" ","undefined","Program provides young women ages 18-24","undefined","undefined"
" ","undefined","in Dallas with a supportive home and teaches","undefined","undefined"
"Medical City Green Oaks","undefined","the skills young women need to lead self-","undefined","undefined"
"Adult Intensive Outpatient Program ","undefined","sufficient lives. Curriculum stresses the","undefined","undefined"
"  www.greenoakspsych.com ","undefined","importance of education, career planning,","undefined","undefined"
"  Locations in Dallas and Los Colinas ","undefined","financial literacy, and self-reliance.","undefined","undefined"
"program for those returning to work.","undefined","Dallas","undefined","undefined"
"972.770.0818 ","undefined","","undefined","undefined"
"972-985-1599","undefined","Shared Housing","undefined","undefined"
"Insurance-b ased ","undefined","","undefined","undefined"
"18 ","undefined","","undefined","undefined"
"NEXUS Recovery Center","undefined","402 N. Good Latimer Expressway,","undefined","undefined"
"214-321-0156","undefined","Dallas, Texas 75204","undefined","undefined"
"Dallas ","undefined","","undefined","undefined"
"North Point Family Center","undefined","Offers a commitment of up to 12 months to","undefined","undefined"
"of University Behavioral Health ","undefined","homeless single parents with children and","undefined","undefined"
"  www.ubhdenton.com/contact-us ","undefined","older adults. Services include","undefined","undefined"
"940-320-8100","undefined","crisis intervention, educational/employment","undefined","undefined"
"Denton","undefined","assistance, economic self sufficiency","undefined","undefined"
" ","undefined","programs, social & recreational Programs.","undefined","undefined"
"1-  888-320-8101","undefined","Dallas","undefined","undefined"
"(24/7)","undefined","","undefined","undefined"
"Health ","undefined","","undefined","undefined"
"and substance abuse issues ","undefined","Shiloh Place","undefined","undefined"
"Free Evaluation ","undefined","","undefined","undefined"
"Richardson ","undefined","","undefined","undefined"
" ","undefined","http://www.shilohplacemckinney.com","undefined","undefined"
" ","undefined","Shiloh Place is a ministry to single","undefined","undefined"
" ","undefined","moms and their children who are","undefined","undefined"
" ","undefined","homeless or at risk of","undefined","undefined"
" ","undefined","homelessness in McKinney that","undefined","undefined"
" ","undefined","offers housing, childcare, and","undefined","undefined"
" ","undefined","tuition assistance for up to two","undefined","undefined"
" ","undefined","years.","undefined","undefined"
" ","undefined","McKinney","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","9","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Support Groups","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","*The following resources are available in the community. Collin College’s Counseling Services does not endorse any","undefined","undefined"
" ","undefined","particular resource. It is the individual’s responsibility to research and make choices based upon information","undefined","undefined"
" ","undefined","received.","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Organization Name","undefined","undefined"
" ","undefined","Description","undefined","undefined"
" ","undefined","Phone","undefined","undefined"
" ","undefined","","undefined","undefined"
"19 ","undefined","Al-Anon Family Groups","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Friends and family members of problem","undefined","undefined"
" ","undefined","drinkers share their experiences and learn","undefined","undefined"
"Gay, Lesbian, Bisexual and Transgender ","undefined","how to apply the principles of the Al-Anon","undefined","undefined"
"received. ","undefined","program to their individual situations.","undefined","undefined"
"GALA – Gay and Lesbian","undefined","Younger family members and friends can","undefined","undefined"
"Alli ance of North T exas","undefined","attend Ala-teen meetings.","undefined","undefined"
" ","undefined","Dallas","undefined","undefined"
"various events and fundraisers. ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
"Legacy Counseling Center","undefined","Fort Worth","undefined","undefined"
"  www.legacycares.org ","undefined","Alcohol Anonymous","undefined","undefined"
"for people challenged with HIV and AIDS.","undefined","","undefined","undefined"
"214-941-7373 ","undefined","(Dallas Intergroup   Association)","undefined","undefined"
"Youth First of Texas","undefined","","undefined","undefined"
"youth@myresourcecenter.org ","undefined","https://alcoholicsanonymous.com/aa-","undefined","undefined"
" ","undefined","meetings/texas/","undefined","undefined"
"     ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
"http://www.rcdallas.org/what-we-do/health ","undefined","Online directory for meeting times and","undefined","undefined"
"and resources for parents and families. ","undefined","locations for Alcohol Anonymous groups","undefined","undefined"
"transgender health services.","undefined","in Greater Dallas.","undefined","undefined"
"214-540-4471","undefined","Dallas","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Association of Persons Affected by","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Addiction (APAA)","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","https://apaarecovery.org","undefined","undefined"
" ","undefined","","undefined","undefined"
"1-  866-6 57-2437 ","undefined","Provides job search and preparation,","undefined","undefined"
" ","undefined","assistance in locating housing and","undefined","undefined"
" ","undefined","advocating with housing providers to","undefined","undefined"
" ","undefined","extend housing to high-risk individuals,","undefined","undefined"
" ","undefined","assistance in obtaining IDs, birth","undefined","undefined"
"20 ","undefined","certificates, driver’s licenses, clothing, food,","undefined","undefined"
"Psychiatric Hospitals ","undefined","childcare, or dental/medical services; and","undefined","undefined"
" ","undefined","assistance in filing for eligible mainstream","undefined","undefined"
"https://carrolltonsprings.com ","undefined","benefits.","undefined","undefined"
"www.dallasbehavioral.com ","undefined","","undefined","undefined"
"972-547-8000 ","undefined","Dallas","undefined","undefined"
" ","undefined","","undefined","undefined"
"Hickory Trail Hospital","undefined","","undefined","undefined"
"  www.hickorytrail.com ","undefined","Because I Love You (BILY)","undefined","undefined"
"DeSoto","undefined","","undefined","undefined"
"972-298-7323","undefined","1st Presbyterian Church of Richardson","undefined","undefined"
" ","undefined","271 N Walton St, Richardson, TX","undefined","undefined"
"Children’s Medical Center","undefined","","undefined","undefined"
"214-456-5900 ","undefined","Support group meetings for parents who","undefined","undefined"
"Glen Oaks Hospital","undefined","have children (of all ages) with behavioral","undefined","undefined"
"  www.glenoakshospital.com ","undefined","issues such as a negative attitudes","undefined","undefined"
"1-800-443-1109","undefined",", truancy,","undefined","undefined"
"24 Hr. Crisis Line ","undefined","drug and/or alcohol abuse, running away,","undefined","undefined"
"Behavioral Health ","undefined","and verbal and physical abuse.","undefined","undefined"
"issues","undefined","Richardson","undefined","undefined"
" ","undefined","","undefined","undefined"
"and Richardson ","undefined","","undefined","undefined"
" ","undefined","Dallas County Asperger’s Self-","undefined","undefined"
" ","undefined","","undefined","undefined"
"21 ","undefined","Advocacy Group","undefined","undefined"
" ","undefined","","undefined","undefined"
"Vocation / Employment ","undefined","","undefined","undefined"
" ","undefined","Assists people with autism and related","undefined","undefined"
"Career Transitions Workshop","undefined","disorders throughout their lives. Services","undefined","undefined"
"Fellowship Hall ","undefined","include residential, educational,","undefined","undefined"
"program is free.","undefined","therapeutic, adult programs, diagnostics","undefined","undefined"
" ","undefined","and research.","undefined","undefined"
"972-702-0761","undefined","","undefined","undefined"
"Easterseals North Texas","undefined","Dallas","undefined","undefined"
" ","undefined","","undefined","undefined"
"http://www.ntx.easterseals.com","undefined","","undefined","undefined"
"1424 Hemphill Street","undefined","","undefined","undefined"
"Fort Worth","undefined","10","undefined","undefined"
"follow-up.","undefined","","undefined","undefined"
" ","undefined","Computer Gaming Addicts Anonymous","undefined","undefined"
"1-  888-617-7171","undefined","","undefined","undefined"
"My Possibilities  ","undefined","http://cgaa.info/online-meetings/","undefined","undefined"
"http://www.MyPossibilities.org","undefined","","undefined","undefined"
" ","undefined","http://springcreekclub.org","undefined","undefined"
"1631 Dorchester Dr.","undefined","","undefined","undefined"
"Plano, TX 75075","undefined","Cross Creek Village Shopping Center","undefined","undefined"
"disabilities ","undefined","150, Plano, TX","undefined","undefined"
"  Job Exploration & Job Training            ","undefined","","undefined","undefined"
"Social Skills & Communication ","undefined","An online fellowship and recovery program","undefined","undefined"
"Independent Living Skills ","undefined","for compulsive video gamers.","undefined","undefined"
"Health & Wellness ","undefined","","undefined","undefined"
"Creative Arts Development","undefined","Members use a variety of tools, including a","undefined","undefined"
"469-241-9100","undefined","12- Step program of recovery. Local","undefined","undefined"
" ","undefined","meetings are on Saturdays at 9 a.m. in","undefined","undefined"
"Texas Workforce Commission","undefined","Plano.","undefined","undefined"
" ","undefined","Helpline","undefined","undefined"
"  www.twc.state.tx.us ","undefined","","undefined","undefined"
" ","undefined","Plano","undefined","undefined"
"Veterans.","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","For inquiries:","undefined","undefined"
" ","undefined","plano@ccgaa.info","undefined","undefined"
"469-229-0099","undefined","","undefined","undefined"
"Plano ","undefined","","undefined","undefined"
"McKinney ","undefined","National Autism Assoc. of North Texas","undefined","undefined"
"St. Andrews United","undefined","","undefined","undefined"
"Methodist Church ","undefined","Naa-nt.org","undefined","undefined"
"nce-career-care ","undefined","","undefined","undefined"
"coaches to assist one on one. ","undefined","naaofnorthtexas@gmail.com","undefined","undefined"
"972-380-8001 ","undefined","NAA-NT hosts several monthly parent","undefined","undefined"
"BillFaumc@gmail.com","undefined","support groups, informative monthly","undefined","undefined"
" ","undefined","meetings with speakers, sibling panels,","undefined","undefined"
" ","undefined","biomedical roundtables, and self-advocacy","undefined","undefined"
" ","undefined","group meetings.","undefined","undefined"
"22 ","undefined","Plano","undefined","undefined"
" ","undefined","","undefined","undefined"
"Hotlines ","undefined","","undefined","undefined"
" ","undefined","NAMI Collin County","undefined","undefined"
"received. ","undefined","","undefined","undefined"
" 2-1-1","undefined","https://www.naminorthtexas.org/","undefined","undefined"
" ","undefined","","undefined","undefined"
"food,","undefined","Offers support for families, caregivers, and","undefined","undefined"
"Substance Abuse and Mental Health","undefined","persons suffering from mental illness and","undefined","undefined"
"Serv  ices Administration (SAMHSA) ","undefined","families with children and adolescents.","undefined","undefined"
"Suicide Prevention Lifeline","undefined","","undefined","undefined"
"800-799-4889","undefined","Narcotics Anonymous","undefined","undefined"
" ","undefined","","undefined","undefined"
"National Help Line","undefined","http://www.dallasareana.org/","undefined","undefined"
"800-662-4357","undefined","Offers recovery from the effects of","undefined","undefined"
" ","undefined","addiction through working a twelve-step","undefined","undefined"
" ","undefined","program, including regular attendance at","undefined","undefined"
"Services ( Collin County Only) ","undefined","group meetings. Groups provides help","undefined","undefined"
"NorthSTAR in Collin County","undefined","from peers and offers an ongoing support","undefined","undefined"
"Crisis Help Line:","undefined","network for addicts who wish to maintain","undefined","undefined"
"877-422-5939","undefined","a drug-free lifestyle.","undefined","undefined"
"Authority ","undefined","","undefined","undefined"
" ","undefined","For a list of","undefined","undefined"
"income individuals.","undefined","meetings in your","undefined","undefined"
"Crisis Help Line","undefined","area.","undefined","undefined"
"1-866-260-8000","undefined","","undefined","undefined"
" ","undefined","St. Andrew’s United Methodist Church","undefined","undefined"
"Child Protective Services (CPS)","undefined","","undefined","undefined"
" ","undefined","Plano, TX 75093","undefined","undefined"
"years or older).","undefined","","undefined","undefined"
"1-800-252-5400","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
"Family Violence Legal Line ","undefined","","undefined","undefined"
"assault, and stalking.","undefined","","undefined","undefined"
"available. ","undefined","","undefined","undefined"
"1-  800-374-HOPE ( 4673) ","undefined","","undefined","undefined"
"1-  877-899-8709 ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Grief Journey Workshop -","undefined","undefined"
"23 ","undefined","Intended for anyone","undefined","undefined"
"Hotline","undefined","who has experienced the death of a loved one","undefined","undefined"
" ","undefined","and addresses a range of issues.","undefined","undefined"
" ","undefined","Treasured Times Alzheimer’s Support-Provides","undefined","undefined"
"resources, and legal help.","undefined","care to those in the early stages of Alzheimer’s","undefined","undefined"
"1-800-799-7233 (HELP)","undefined","Disease (AD) or related dementia.","undefined","undefined"
"24 HR ","undefined","","undefined","undefined"
"1-800-787-3224 (TTY) ","undefined","Families Anonymous-Fellowship of parents,","undefined","undefined"
"Turning Point","undefined","relatives, and friends dealing with a loved one’s","undefined","undefined"
" ","undefined","addiction to alcohol, drugs, or harmful","undefined","undefined"
"  http://www.theturningpoint.org/ ","undefined","behaviors.","undefined","undefined"
"advocacy. ","undefined","","undefined","undefined"
"1-800-866-7273","undefined","Wednesdays at 7:30 p.m., Room 233","undefined","undefined"
"Runaway Hotline","undefined","Donna Fenwick","undefined","undefined"
"  TexasYouth.org ","undefined","214.291.8011","undefined","undefined"
"information, or simply listen.","undefined","","undefined","undefined"
"RAINN – Rape, Abuse, & Incest","undefined","","undefined","undefined"
"National Network ","undefined","Dana Bishop","undefined","undefined"
"concerns. ","undefined","#268","undefined","undefined"
"1-800-656-HOPE (4673)","undefined","","undefined","undefined"
"Volunteer Match","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
"0377.jsp","undefined","","undefined","undefined"
"languages.","undefined","","undefined","undefined"
"214-358-5173","undefined","","undefined","undefined"
"Suicide & Crisis Center of North","undefined","","undefined","undefined"
"Texas ","undefined","","undefined","undefined"
"awareness training for schools.","undefined","","undefined","undefined"
" 214-828-1000 or","undefined","11","undefined","undefined"
"            800-273-8255 ","undefined","","undefined","undefined"
" ","undefined","Counseling Services","undefined","undefined"
"Text “Connect” to 741741 ","undefined","","undefined","undefined"
" ","undefined","*The following resources are available in the community. Collin College’s Counseling Services does not endorse any","undefined","undefined"
" ","undefined","particular resource. It is the individual’s responsibility to research and make choices based upon information","undefined","undefined"
"24 ","undefined","received.","undefined","undefined"
"Medical Referrals ","undefined","","undefined","undefined"
" ","undefined","Organization Name","undefined","undefined"
"received. ","undefined","Description","undefined","undefined"
"AIDS Services of Dallas","undefined","Phone","undefined","undefined"
" ","undefined","Child & Family Guidance","undefined","undefined"
"week.","undefined","","undefined","undefined"
"214-941-0523","undefined","https://www.childrenandfamilies.org","undefined","undefined"
"Collin County Adult Clinic","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
"  www.collincountyadultclinic.org ","undefined","Dallas, TX  75235","undefined","undefined"
"Provides primary care services to the","undefined","","undefined","undefined"
"972-423-4941 – info","undefined","Offers a range of programs designed to","undefined","undefined"
" ","undefined","equip children, adults, and families with","undefined","undefined"
"appointment line","undefined","skills and resources needed to reduce the","undefined","undefined"
" ","undefined","symptoms of mental illness and emotional","undefined","undefined"
"Collin County Health Care Services","undefined","distress. Staff is bilingual in Spanish and","undefined","undefined"
" ","undefined","Asian languages. Offices in Dallas, Mesquite","undefined","undefined"
"ervices/pages/default.aspx ","undefined","and Plano.","undefined","undefined"
"Services include WIC, immunizations, STD /","undefined","Call Center","undefined","undefined"
"McKinney ","undefined","","undefined","undefined"
"Plano ","undefined","","undefined","undefined"
"Wylie ","undefined","","undefined","undefined"
" ","undefined","CITY House","undefined","undefined"
" ","undefined","","undefined","undefined"
"  Community Health","undefined","","undefined","undefined"
"Clinic","undefined","901 East 18th Street","undefined","undefined"
" ","undefined","Plano, TX 75074","undefined","undefined"
"  http://www.chc-mckinney.com/ ","undefined","Offers community counseling services with a","undefined","undefined"
"McKinney, TX 75069 ","undefined","licensed therapist for family problems such","undefined","undefined"
"families.","undefined","as at-risk behaviors, running away, family","undefined","undefined"
"972-547-0606","undefined","and relationship conflict, school based","undefined","undefined"
"sliding scale payments","undefined","concerns and self-image. Families and/or","undefined","undefined"
"Point ","undefined","individuals participate in eight free sessions.","undefined","undefined"
"Plano, TX  ","undefined","The majority of youth services are for youth","undefined","undefined"
" ","undefined","going through transition housing 13-18 yrs.","undefined","undefined"
"shelter and follow up medical care.","undefined","","undefined","undefined"
"1-800-886-7273 ","undefined","","undefined","undefined"
" ","undefined","Collin County Children’s Advocacy","undefined","undefined"
" ","undefined","","undefined","undefined"
"25 ","undefined","","undefined","undefined"
"Parkways ","undefined","http://www.caccollincounty.org/","undefined","undefined"
" ","undefined","","undefined","undefined"
"McKinney, TX (temporary location) ","undefined","","undefined","undefined"
" ","undefined","Specializing in trauma-informed therapy,","undefined","undefined"
"214-618-5600 ","undefined","staff offers services both to abused children","undefined","undefined"
"  Health Services of North Texas","undefined","and to their non-offending family members","undefined","undefined"
"  www.healthntx.org ","undefined","who are dealing with the aftermath of abuse","undefined","undefined"
" ","undefined",".","undefined","undefined"
"  ","undefined","","undefined","undefined"
"AIDS (Denton) ","undefined","The Counseling Institute of Texas","undefined","undefined"
"  ","undefined","","undefined","undefined"
"972-548-5526","undefined","","undefined","undefined"
"Hope Clinic of McKinney ","undefined","Garland, TX  75043","undefined","undefined"
"https://hopeclinicmckinney.org ","undefined","Not-for-profit community counseling agency","undefined","undefined"
"McKinney, TX 75069 ","undefined","helping children, adolescents, and adults","undefined","undefined"
" ","undefined","cope with marital and/or family problems,","undefined","undefined"
"HOPE Women’s Center","undefined","adolescent issues, divorce, blended families,","undefined","undefined"
" ","undefined","school truancy and drop-out prevention,","undefined","undefined"
"  http://myhope.org/index.php ","undefined","physical and sexual abuse, depression,","undefined","undefined"
"  McKinney, TX 75071","undefined","suicide, anger management, and a variety of","undefined","undefined"
"972-562-4673","undefined","other issues.","undefined","undefined"
"McKinney ","undefined","Garland","undefined","undefined"
"responses","undefined","","undefined","undefined"
" ","undefined","Jewish Family Services","undefined","undefined"
"  Pediplace","undefined","","undefined","undefined"
"  www.pediplace.org ","undefined","","undefined","undefined"
"  Lewisville, TX 75067 ","undefined","","undefined","undefined"
"  Dallas, TX 75248 ","undefined","Dallas, TX 75248","undefined","undefined"
"chronic illnesses. ","undefined","Provides individual, family, marriage, or","undefined","undefined"
" ","undefined","group counseling to include personal","undefined","undefined"
" ","undefined","emotional crises such as depression,","undefined","undefined"
" ","undefined","anxiety, mood disorders, and/or serious","undefined","undefined"
" ","undefined","personal difficulties including conflicts in","undefined","undefined"
" ","undefined","interpersonal relationships such as","undefined","undefined"
" ","undefined","marriage or peer friendships. Also offers","undefined","undefined"
" ","undefined","rental and utility bill assistance.","undefined","undefined"
" ","undefined","","undefined","undefined"
"972-436-7962","undefined","","undefined","undefined"
"Lewisv  ille ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
"Planned Parenthood of Greater","undefined","","undefined","undefined"
"Dallas","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
"cervical and other cancers. ","undefined","","undefined","undefined"
"1-800-230-PLAN","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
"26 ","undefined","12","undefined","undefined"
"Prism Health North Texas","undefined","","undefined","undefined"
"(Formally AIDS Arms)","undefined","","undefined","undefined"
"  Dallas, TX 75208 ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
"214-521-5191","undefined","","undefined","undefined"
"Real Options for Women","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" https://realoptionstx.com ","undefined","","undefined","undefined"
"Allen, TX 75013","undefined","Life Path Systems","undefined","undefined"
"counseling, and STI screenings.","undefined","","undefined","undefined"
"214-238-9389","undefined","","undefined","undefined"
"Allen ","undefined","","undefined","undefined"
"972-440-0167","undefined","","undefined","undefined"
"Starling Clinic","undefined","","undefined","undefined"
" ","undefined","Provides Mental Health and Substance","undefined","undefined"
" https://starlingclinic.com ","undefined","Abuse Services in Collin County and","undefined","undefined"
" ","undefined","specializes in providing services to those","undefined","undefined"
